citing_author,cited_author,cite_year
673,122,2018
714,122,2018
551,744,2012
48,744,2012
106,744,2012
65,744,2012
551,682,2012
48,682,2012
106,682,2012
65,682,2012
551,122,2012
48,122,2012
106,122,2012
65,122,2012
551,21,2012
48,21,2012
106,21,2012
65,21,2012
547,491,2009
615,491,2009
366,491,2009
547,628,2009
615,628,2009
366,628,2009
533,122,2009
712,122,2009
700,122,2009
533,68,2009
712,68,2009
700,68,2009
533,308,2009
712,308,2009
700,308,2009
316,343,2016
316,161,2016
316,744,2016
316,291,2016
316,678,2016
316,750,2016
316,752,2016
387,744,2008
257,744,2008
387,707,2008
257,707,2008
387,520,2008
257,520,2008
387,73,2008
257,73,2008
387,367,2008
257,367,2008
387,585,2008
257,585,2008
387,76,2008
257,76,2008
387,613,2008
257,613,2008
387,658,2008
257,658,2008
387,21,2008
257,21,2008
387,707,2009
257,707,2009
387,613,2009
257,613,2009
387,300,2009
257,300,2009
387,20,2009
257,20,2009
387,21,2009
257,21,2009
387,251,2009
257,251,2009
387,658,2009
257,658,2009
528,666,2010
528,327,2010
528,641,2010
528,511,2010
528,55,2010
528,263,2010
471,682,2005
448,682,2005
471,744,2005
448,744,2005
417,343,2016
417,666,2016
417,641,2016
417,678,2016
417,744,2016
417,327,2016
417,70,2016
417,100,2016
417,657,2016
417,291,2016
417,750,2016
417,752,2016
417,254,2016
15,715,2014
384,715,2014
15,325,2014
384,325,2014
15,304,2014
384,304,2014
15,580,2014
384,580,2014
15,635,2014
384,635,2014
516,744,2014
138,744,2014
330,744,2014
694,744,2014
507,343,2014
229,343,2014
507,682,2014
229,682,2014
507,699,2014
229,699,2014
507,234,2014
229,234,2014
507,545,2014
229,545,2014
507,593,2014
229,593,2014
507,231,2014
229,231,2014
507,601,2014
229,601,2014
507,707,2014
229,707,2014
507,280,2014
229,280,2014
406,343,2014
31,343,2014
406,666,2014
31,666,2014
406,327,2014
31,327,2014
406,678,2014
31,678,2014
406,682,2014
31,682,2014
406,161,2014
31,161,2014
406,446,2014
31,446,2014
406,232,2014
31,232,2014
406,425,2014
31,425,2014
406,447,2014
31,447,2014
406,7,2014
31,7,2014
406,122,2014
31,122,2014
406,343,2017
383,343,2017
434,343,2017
406,666,2017
383,666,2017
434,666,2017
406,327,2017
383,327,2017
434,327,2017
406,678,2017
383,678,2017
434,678,2017
406,205,2017
383,205,2017
434,205,2017
406,49,2017
383,49,2017
434,49,2017
406,161,2017
383,161,2017
434,161,2017
406,703,2017
383,703,2017
434,703,2017
406,601,2017
383,601,2017
434,601,2017
528,343,2015
528,682,2015
528,699,2015
528,280,2015
528,122,2015
528,511,2015
528,70,2015
528,545,2015
528,534,2015
528,407,2015
528,285,2015
528,462,2015
528,200,2015
528,286,2015
528,279,2015
528,195,2015
528,95,2015
528,651,2015
528,563,2015
225,678,2015
547,678,2015
400,678,2015
298,678,2015
436,678,2015
225,744,2015
547,744,2015
400,744,2015
298,744,2015
436,744,2015
119,598,2020
132,598,2020
216,598,2020
191,598,2020
528,598,2020
115,598,2020
119,290,2020
132,290,2020
216,290,2020
191,290,2020
528,290,2020
115,290,2020
119,549,2020
132,549,2020
216,549,2020
191,549,2020
528,549,2020
115,549,2020
119,564,2020
132,564,2020
216,564,2020
191,564,2020
528,564,2020
